변수,VIF
vod_use_tms_sum,inf
Total_Watch_Time,inf
Log_Watch_Time,8.605651400040928
Recency,8.211039584444984
Flag_Movie,2.584517791272412
AGMT_END_YMD,2.261928974354163
vod_asset_cnt,2.1372305793371806
vod_view_cnt,2.1315104122700848
AGMT_END_SEG,2.1276893847781198
CH_LAST_DAYS_BF_GRP,1.3597328965519828
CH_HH_AVG_MONTH1,1.325650621688692
Flag_Kids,1.1979503835240743
TOTAL_USED_DAYS,1.0996928046153276
Is_Netflix,1.0861355724827717
SMS_SEND_CLS_NM,1.0460677142888803
Risk_Segment_Kids_NFX,1.038594878520149
VOC_STOP_CANCEL_MONTH1_YN,1.0104160583703352
