p_mt,TV_avg,FOD_avg,RVOD_avg,SVOD_avg,VOD_total_avg,p_mt_str
202301,0.0,11996.76610786285,11745.850855589873,1913.9426612814436,25659.191735575503,2023-01
202302,4.584601584530684,14525.490309675228,14765.364086983323,2493.805885276116,31792.359167909017,2023-02
202303,4.2871390021478755,0.0,0.0,0.0,0.0,2023-03
202304,4.27706823101209,6042.344725574153,5995.066669910471,968.2278999610744,13006.423014791748,2023-04
202305,4.324863225304378,15485.41009822822,15027.485675816273,2497.7038771076227,33011.085167844794,2023-05
202306,4.2717128559513835,15020.19781028437,13787.546392280325,2382.62138780107,31192.904566280173,2023-06
202307,4.486970677745041,14959.418720817857,14939.426068022774,2290.6626456923955,32190.14547116426,2023-07
202308,4.460120342342168,15120.43078177382,14442.127101370797,2305.258023692328,31869.066422482767,2023-08
202309,4.429628072283125,14093.493094243633,12725.45189837641,2186.50647866093,29007.585623213894,2023-09
202310,4.307857502966356,4606.561034094185,4564.029822584449,840.9662464949291,10013.173759794543,2023-10
202311,4.261333916718959,14119.800305437671,13474.40090162851,2650.200472841011,30245.35492444823,2023-11
202312,4.665338376686289,0.0,0.0,0.0,0.0,2023-12
