TV분위,VOD분위,해지율,인원
TV하위,VOD하위,0.15766733971645064,92118
TV하위,VOD중하,0.15681739581532078,92528
TV하위,VOD중상,0.15962395603444546,92436
TV하위,VOD상위,0.16463297463489623,62448
TV중하,VOD하위,0.09689788215057873,83717
TV중하,VOD중하,0.09699769053117784,83569
TV중하,VOD중상,0.0967146504296964,83431
TV중하,VOD상위,0.1307143178849705,88812
TV중상,VOD하위,0.08327039041121333,80761
TV중상,VOD중하,0.07969997044043749,81192
TV중상,VOD중상,0.07963760692200403,81017
TV중상,VOD상위,0.10949781998570822,96559
TV상위,VOD하위,0.06291750066317794,82934
TV상위,VOD중하,0.06415369649805447,82240
TV상위,VOD중상,0.06305281626232682,82645
TV상위,VOD상위,0.08370951913640824,91710
